Team,made_tournament
Samford,False
San Diego,False
San Diego State,True
San Francisco,False
San Jose State,False
Santa Clara,False
Savannah State,False
Seattle,False
Seton Hall,False
Siena,False
South Alabama,False
South Carolina,False
South Carolina State,False
South Carolina Upstate,False
South Dakota,False
South Dakota State,True
South Florida,True
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,False
Southern Illinois,False
SIU Edwardsville,False
Southern Methodist,False
Southern Mississippi,True
Southern Utah,False
St. Bonaventure,True
St. Francis (NY),False
St. John's (NY),False
Stanford,False
Stephen F. Austin,False
Stetson,False
Stony Brook,False
Syracuse,True
TCU,False
Temple,True
Tennessee,False
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,True
Texas A&M,False
Texas A&M-Corpus Christi,False
Texas Southern,False
Texas State,False
Texas Tech,False
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,False
Tulane,False
Tulsa,False
UAB,False
UC Davis,False
UC Irvine,False
UC Riverside,False
UC Santa Barbara,False
UCF,False
UCLA,False
UNC Asheville,True
UNC Greensboro,False
UNC Wilmington,False
UT Arlington,False
Utah,False
Utah State,False
Utah Valley,False
UTEP,False
UTSA,False
Valparaiso,False
Vanderbilt,True
Vermont,True
Villanova,False
Virginia,True
Virginia Commonwealth,True
VMI,False
Virginia Tech,False
Wagner,False
Wake Forest,False
Washington,False
Washington State,False
Weber State,False
West Virginia,True
Western Carolina,False
Western Illinois,False
Western Kentucky,True
Western Michigan,False
Wichita State,True
William & Mary,False
Winthrop,False
Wisconsin,True
Wofford,False
Wright State,False
Wyoming,False
Xavier,True
Yale,False
Youngstown State,False
