Team,made_tournament
Rhode Island,True
Rice,False
Richmond,False
Rider,False
Robert Morris,False
Rutgers,False
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,False
Saint Mary's (CA),True
Saint Peter's,False
Sam Houston,False
Samford,False
San Diego,False
San Diego State,False
San Francisco,False
San Jose State,False
Santa Clara,False
Savannah State,False
Seattle,False
Seton Hall,True
Siena,False
South Alabama,False
South Carolina,True
South Carolina State,False
South Carolina Upstate,False
South Dakota,False
South Dakota State,True
South Florida,False
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,True
Southern Illinois,False
SIU Edwardsville,False
Southern Methodist,True
Southern Mississippi,False
Southern Utah,False
St. Bonaventure,False
St. Francis (NY),False
St. John's (NY),False
Stanford,False
Stephen F. Austin,False
Stetson,False
Stony Brook,False
Syracuse,False
TCU,False
Temple,False
Tennessee,False
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,False
Texas A&M,False
Texas A&M-Corpus Christi,False
Texas Southern,True
Texas State,False
Texas Tech,False
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,True
Tulane,False
Tulsa,False
UAB,False
UC Davis,True
UC Irvine,False
UC Riverside,False
UC Santa Barbara,False
UCF,False
UCLA,True
UNC Asheville,False
UNC Greensboro,False
UNC Wilmington,True
UT Arlington,False
Utah,False
Utah State,False
Utah Valley,False
UTEP,False
UTSA,False
Valparaiso,False
Vanderbilt,True
Vermont,True
Villanova,True
Virginia,True
Virginia Commonwealth,True
VMI,False
Virginia Tech,True
Wagner,False
Wake Forest,True
Washington,False
Washington State,False
Weber State,False
West Virginia,True
Western Carolina,False
Western Illinois,False
Western Kentucky,False
Western Michigan,False
Wichita State,True
William & Mary,False
Winthrop,True
Wisconsin,True
Wofford,False
Wright State,False
Wyoming,False
Xavier,True
Yale,False
Youngstown State,False
