Team,made_tournament
Rhode Island,False
Rice,False
Richmond,False
Rider,False
Robert Morris,True
Rutgers,False
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,False
Saint Mary's (CA),False
Saint Peter's,False
Sam Houston,False
Samford,False
San Diego,False
San Diego State,True
San Francisco,False
San Jose State,False
Santa Clara,False
Savannah State,False
Seattle,False
Seton Hall,False
Siena,False
South Alabama,False
South Carolina,False
South Carolina State,False
South Carolina Upstate,False
South Dakota,False
South Dakota State,False
South Florida,False
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,False
Southern Illinois,False
SIU Edwardsville,False
Southern Methodist,True
Southern Mississippi,False
Southern Utah,False
St. Bonaventure,False
St. Francis (NY),False
St. John's (NY),True
Stanford,False
Stephen F. Austin,True
Stetson,False
Stony Brook,False
Syracuse,False
TCU,False
Temple,False
Tennessee,False
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,True
Texas A&M,False
Texas A&M-Corpus Christi,False
Texas Southern,True
Texas State,False
Texas Tech,False
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,False
Tulane,False
Tulsa,False
UAB,True
UC Davis,False
UC Irvine,True
UC Riverside,False
UC Santa Barbara,False
UCF,False
UCLA,True
UNC Asheville,False
UNC Greensboro,False
UNC Wilmington,False
UT Arlington,False
Utah,True
Utah State,False
Utah Valley,False
UTEP,False
UTSA,False
Valparaiso,True
Vanderbilt,False
Vermont,False
Villanova,True
Virginia,True
Virginia Commonwealth,True
VMI,False
Virginia Tech,False
Wagner,False
Wake Forest,False
Washington,False
Washington State,False
Weber State,False
West Virginia,True
Western Carolina,False
Western Illinois,False
Western Kentucky,False
Western Michigan,False
Wichita State,True
William & Mary,False
Winthrop,False
Wisconsin,True
Wofford,True
Wright State,False
Wyoming,True
Xavier,True
Yale,False
Youngstown State,False
