Team,made_tournament
Santa Clara,False
Savannah State,False
Seton Hall,False
Siena,False
South Alabama,False
South Carolina,False
South Carolina State,False
South Dakota State,False
South Florida,False
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,True
Southern Illinois,True
Southern Methodist,False
Southern Mississippi,False
Southern Utah,False
St. Bonaventure,False
St. Francis (NY),False
St. John's (NY),False
Stanford,True
Stephen F. Austin,False
Stetson,False
Stony Brook,False
Syracuse,False
TCU,False
Temple,False
Tennessee,True
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,True
Texas A&M,True
Texas A&M-Corpus Christi,True
Texas Southern,False
Texas State,False
Texas Tech,True
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,False
Tulane,False
Tulsa,False
UAB,False
UC Davis,False
UC Irvine,False
UC Riverside,False
UC Santa Barbara,False
UCF,False
UCLA,True
UNC Asheville,False
UNC Greensboro,False
UNC Wilmington,False
UT Arlington,False
Utah,False
Utah State,False
Utah Valley,False
UTEP,False
UTSA,False
Valparaiso,False
Vanderbilt,True
Vermont,False
Villanova,True
Virginia,True
Virginia Commonwealth,True
VMI,False
Virginia Tech,True
Wagner,False
Wake Forest,False
Washington,False
Washington State,True
Weber State,True
West Virginia,False
Western Carolina,False
Western Illinois,False
Western Kentucky,False
Western Michigan,False
Wichita State,False
William & Mary,False
Winston-Salem,False
Winthrop,True
Wisconsin,True
Wofford,False
Wright State,True
Wyoming,False
Xavier,True
Yale,False
Youngstown State,False
